Month,Price,DCA_Units_Total,DCA_Value_USD,Smash_Units,Smash_Value_USD,Combined_Units,Combined_Value_USD
68,334460.5564637973,0.24288834637563994,81236.57148736807,1.0587948796679618,354125.1246347658,1.3016832260436018,435361.6961221339
69,340738.13532075274,0.24464922940516992,83361.32223517667,1.0587948796679618,360771.79298522207,1.3034441090731317,444133.11522039876
70,347133.5397195956,0.24637767085880952,85525.952993088,1.0587948796679618,367543.2144161228,1.3051725505267713,453069.1674092108
71,353648.98115915956,0.248074268422963,87731.21227958474,1.0587948796679618,374441.73045110964,1.306869148090925,462172.9427306944
72,360286.71264648635,0.24973960877257706,89977.86266229139,1.0587948796679618,381469.72656250204,1.308534488440539,471447.5892247935
73,367049.0294759041,0.25137426777400995,92266.6810216664,1.0587948796679618,388629.6329961821,1.3101691474419717,480896.31401784846
74,373938.2700227289,0.25297881068416334,94598.45881964348,1.0587948796679618,395923.92561196105,1.311773690352125,490522.3844316045
75,380956.8165518628,0.2545537923459453,96974.00237331525,1.0587948796679618,403355.12673971936,1.3133486720139071,500329.12911303464
76,388107.0960415697,0.25609975738013196,99394.13313375358,1.0587948796679618,410925.8060516159,1.3148946370480938,510319.9391853695
77,395391.58102271176,0.2576172403736951,101859.68797006327,1.0587948796679618,418638.5814506673,1.316412120041657,520498.2694207306
78,402812.7904337385,0.2591067660646592,104371.51945876727,1.0587948796679618,426496.1199760061,1.3179016457326211,530867.6394347734
79,410373.290491723,0.2605688495235536,106930.4961786233,1.0587948796679618,434501.13872512936,1.3193637291915155,541431.6349037527
80,418075.695579747,0.26200399633152094,109537.50301097409,1.0587948796679618,442656.40579345764,1.3207988759994826,552193.9088044317
81,425922.6691509413,0.2634127027551449,112193.44144573482,1.0587948796679618,450964.741231528,1.3222075824231068,563158.1826772628
82,433916.9246494949,0.2647954559180566,114899.22989312401,1.0587948796679618,459429.018020154,1.3235903355860184,574328.2479132779
83,442061.22644894983,0.2661527339693794,117655.80400124492,1.0587948796679618,468052.16306388745,1.3249476136373413,585707.9670651325
84,450358.3908081083,0.2674850062490706,120464.11697962825,1.0587948796679618,476837.15820312797,1.3262798859170324,597301.2751827562
85,458811.28684488055,0.2687927334502169,123325.139928847,1.0587948796679618,485787.041245228,1.3275876131181787,609112.181174075
86,467422.83752841153,0.27007636777833965,126239.86217631838,1.0587948796679618,494904.90701495175,1.3288712474463016,621144.7691912702
87,476196.02068982896,0.27133635310776516,129209.29161840808,1.0587948796679618,504193.90842464974,1.3301312327757269,633403.2000430578
88,485133.87005196256,0.2725731251351145,132234.45506895595,1.0587948796679618,513657.25756452035,1.3313680048030763,645891.7126334762
89,494239.47627839015,0.273787111529965,135316.39861434308,1.0587948796679618,523298.22681333456,1.3325819911979269,658614.6254276776
90,503515.9880421736,0.27497873208273627,138456.1879752231,1.0587948796679618,533120.1499700081,1.333773611750698,671576.3379452311
91,512966.61311465426,0.27614839884985176,141654.90887504315,1.0587948796679618,543126.4234064122,1.3349432785178137,684781.3322814555
92,522594.61947468424,0.27729651629622565,144913.6674154816,1.0587948796679618,553320.5072418225,1.3360913959641874,698234.1746573042
93,532403.3364386772,0.27842348143512485,148233.59045893257,1.0587948796679618,563705.9265394106,1.3372183611030866,711939.516998343
94,542396.1558118691,0.2795296839654542,151615.826018169,1.0587948796679618,574286.2725251929,1.338324563633416,725902.098543362
95,552576.5330611878,0.28061550640651245,155061.5436533202,1.0587948796679618,585065.2038298598,1.3394103860744742,740126.74748318
96,562947.9885101359,0.28168132423026543,158571.93487629932,1.0587948796679618,596046.4477539106,1.3404762038982272,754618.3826302098
97,573514.1085561012,0.2827275059911825,162148.2135628228,1.0587948796679618,607233.8015565355,1.3415223856591443,769382.0151193583
98,584278.5469105149,0.2837544134536807,165791.616372162,1.0587948796679618,618631.1337686903,1.3425492931216425,784422.7501408523
99,595245.0258622868,0.2847624017172211,169503.4031747742,1.0587948796679618,630242.3855308128,1.3435572813851828,799745.7887055869
100,606417.3375649538,0.2857518193391006,173284.85748795906,1.0587948796679618,642071.571955651,1.3445466990070625,815356.4294436101
101,617799.3453479883,0.286723008454981,177137.28691969297,1.0587948796679618,654122.7835166688,1.3455178881229428,831260.0704363618
102,629394.9850527176,0.28767630489719803,181062.02362079298,1.0587948796679618,666400.1874625108,1.3464711845651598,847462.2110833038
103,641208.2663933184,0.28861203831089044,185060.42474556805,1.0587948796679618,678908.029258016,1.3474069179788524,863968.4540035841
104,653243.2743433559,0.2895305322679895,189133.87292111616,1.0587948796679618,691650.6340522789,1.3483254119359513,880784.506973395
105,665504.170548347,0.2904321043791089,193283.7767254298,1.0587948796679618,704632.4081742639,1.3492269840470708,897916.1848996937
106,677995.194764837,0.29131706640337235,197511.5711744754,1.0587948796679618,717857.8406564919,1.3501119460713342,915369.4118309674
107,690720.6663264855,0.2921857243562189,201818.71821841435,1.0587948796679618,731331.5047873256,1.3509806040241807,933150.22300574
108,703684.9856376706,0.2930383786152213,206206.70724713829,1.0587948796679618,745058.0596923889,1.3518332582831831,951264.7669395272
109,716892.6356951273,0.29387532402395494,210677.0556052926,1.0587948796679618,759042.2519456703,1.3526702036919167,969719.3075509629
110,730348.1836381444,0.29469684999395346,215231.30911696661,1.0587948796679618,773288.9172108636,1.3534917296619153,988520.2263278302
111,744056.2823278592,0.2955032406047858,219871.0426202318,1.0587948796679618,787802.9819135166,1.3542981202727475,1007674.0245337485
112,758021.671956193,0.2962947747022894,224597.86051171293,1.0587948796679618,802589.4649445646,1.3550896543702513,1027187.3254562777
113,772249.1816849862,0.2970717259949937,229413.39730138035,1.0587948796679618,817653.4793958369,1.3558666056629556,1047066.8766972173
114,786743.7313158979,0.2978343631487673,234319.31817775537,1.0587948796679618,833000.2343281393,1.3566292428167293,1067319.5525058948
115,801510.3329916489,0.2985829498797212,239317.3195837242,1.0587948796679618,848635.036572521,1.357377829547683,1087952.356156245
116,816554.0929291958,0.2993177450454005,244409.1298031593,1.0587948796679618,864563.2925653496,1.3581126247133624,1108972.422368509
117,831880.2131854348,0.30003900273429596,249596.5095585514,1.0587948796679618,880790.5102178309,1.3588338824022577,1130387.0197763823
118,847493.9934560473,0.30074697235370673,254881.25261985837,1.0587948796679618,897322.300820616,1.3595418520216684,1152203.5534404742
119,863400.8329081078,0.301441898715984,260265.18642478203,1.0587948796679618,914164.380984158,1.3602367783839457,1174429.56740894
120,879606.2320470893,0.3021240221231859,265750.172710687,1.0587948796679618,931322.5746154871,1.3609189017911478,1197072.7473261743
121,896115.7946189101,0.3027935784501728,271338.10815837985,1.0587948796679618,948802.8149320888,1.3615884581181346,1220140.9230904686
122,912935.2295476815,0.30345079922617163,277030.9250479724,1.0587948796679618,966611.1465135806,1.3622456788941335,1243642.071561553
123,930070.352909825,0.3040959117148375,282830.59192705393,1.0587948796679618,984753.727391897,1.3628907913827994,1267584.319318951
124,947527.0899452423,0.3047291389928404,288739.1142914053,1.0587948796679618,1003236.8311807069,1.3635240186608022,1291975.9454721122
125,965311.4771062337,0.3053507000270038,294758.5352784895,1.0587948796679618,1022066.8492447973,1.3641455796949655,1316825.3845232867
126,983429.6641448733,0.3059608097500227,300890.9363739583,1.0587948796679618,1041250.2929101752,1.3647556894179846,1342141.2292841335
127,1001887.9162395621,0.3065596791347858,307138.4381314193,1.0587948796679618,1060793.7957156522,1.3653545588027476,1367932.2338470714
128,1020692.6161614958,0.30714751526732925,313503.20090571325,1.0587948796679618,1080704.115706688,1.3659423949352911,1394207.3166124015
129,1039850.2664817945,0.30772452141844564,319987.4255999534,1.0587948796679618,1100988.1377722896,1.3665194010864075,1420975.563372243
130,1059367.4918200602,0.3082908971139743,326593.3544265872,1.0587948796679618,1121652.8760257713,1.367085776781936,1448246.2304523583
131,1079251.0411351358,0.3088468382037961,333323.27168274176,1.0587948796679618,1142705.4762301985,1.367641717871758,1476028.7479129403
132,1099507.7900588627,0.30939253692955765,340179.504540123,1.0587948796679618,1164153.21826936,1.3681874165975194,1504332.722809483
133,1120144.7432736387,0.3099281819911472,347164.42384973913,1.0587948796679618,1186003.5186651123,1.368723061659109,1533167.9425148515
